                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.77863,                0.54388,                0.91609,                 0.9401,                0.97727,                0.97029,                0.73335,                0.82313,                0.62207,                 0.9574,               0.001708,               0.001708,               0.001708
                     62,                 0.8166,                0.54497,                 0.9175,                0.94515,                0.97903,                0.97703,                0.74481,                  0.822,                0.60973,                0.94764,               0.001703,               0.001703,               0.001703
                     63,                0.82997,                0.54363,                0.91666,                 0.9861,                      1,                0.98579,                0.72774,                0.86682,                0.59236,                 0.9594,               0.001698,               0.001698,               0.001698
                     64,                0.80378,                0.53214,                 0.9235,                0.97156,                0.98864,                 0.9898,                0.77529,                0.80364,                0.52836,                0.92388,              0.0016931,              0.0016931,              0.0016931
                     65,                0.81229,                0.52421,                0.91409,                0.98569,                0.98864,                0.99376,                0.77537,                0.80766,                0.51668,                0.92659,              0.0016882,              0.0016882,              0.0016882
                     66,                0.81496,                0.52752,                0.91523,                0.97742,                0.98382,                0.99424,                0.77435,                0.82002,                0.51669,                0.91959,              0.0016832,              0.0016832,              0.0016832
                     67,                0.77994,                0.52455,                0.91852,                0.99233,                0.98864,                0.99478,                0.77178,                0.80699,                0.50837,                0.91602,              0.0016783,              0.0016783,              0.0016783
                     68,                0.82211,                0.52924,                0.91772,                0.97766,                0.99485,                0.99444,                0.74993,                0.84728,                0.49096,                0.91686,              0.0016733,              0.0016733,              0.0016733
                     69,                0.79092,                  0.515,                0.89617,                 0.9711,                0.97727,                0.98989,                0.76713,                0.79696,                0.51648,                 0.9106,              0.0016684,              0.0016684,              0.0016684
                     70,                0.80765,                0.54032,                0.90677,                0.99821,                0.98864,                0.99426,                0.78852,                0.78599,                0.48256,                0.90553,              0.0016634,              0.0016634,              0.0016634
                     71,                0.75853,                0.50594,                0.89837,                0.97971,                0.97727,                0.99383,                0.79123,                0.75919,                0.47034,                0.90071,              0.0016585,              0.0016585,              0.0016585
                     72,                0.83963,                0.53981,                0.92824,                0.98872,                0.99644,                0.99455,                0.77467,                0.81972,                 0.4956,                0.91399,              0.0016535,              0.0016535,              0.0016535
                     73,                 0.8408,                  0.558,                 0.9193,                0.99916,                      1,                  0.995,                0.79518,                0.77356,                0.46588,                0.91919,              0.0016485,              0.0016485,              0.0016485
                     74,                0.81872,                0.53021,                0.90933,                0.97673,                      1,                0.99478,                0.75835,                0.83667,                 0.4894,                0.93197,              0.0016436,              0.0016436,              0.0016436
                     75,                0.85011,                0.53812,                0.94542,                0.97706,                      1,                0.99201,                0.73876,                0.85978,                0.50382,                0.92315,              0.0016386,              0.0016386,              0.0016386
                     76,                0.86528,                 0.5404,                0.93696,                0.94296,                0.98864,                0.98784,                0.74563,                0.82819,                0.54144,                0.92275,              0.0016337,              0.0016337,              0.0016337
                     77,                0.79226,                0.52127,                0.91729,                0.99203,                0.94318,                0.99231,                0.76737,                0.81842,                0.51688,                0.92493,              0.0016287,              0.0016287,              0.0016287
                     78,                0.79846,                0.51081,                0.92193,                0.99716,                0.96591,                0.99379,                0.77143,                 0.8025,                0.49934,                 0.9101,              0.0016238,              0.0016238,              0.0016238
                     79,                0.78434,                0.50877,                 0.9051,                0.97777,                0.99974,                0.99444,                0.77463,                0.78275,                0.48377,                0.90602,              0.0016189,              0.0016189,              0.0016189
                     80,                 0.7844,                0.55529,                0.91307,                0.96482,                0.97727,                0.98994,                0.78097,                0.74495,                0.47706,                0.89876,              0.0016139,              0.0016139,              0.0016139
                     81,                 0.7935,                0.54475,                0.90697,                0.97494,                0.98864,                  0.993,                0.77257,                 0.7521,                0.46691,                0.90782,              0.0016089,              0.0016089,              0.0016089
                     82,                0.77085,                0.51055,                0.91333,                0.97705,                0.97727,                0.99391,                0.78704,                0.76066,                0.46121,                0.90905,               0.001604,               0.001604,               0.001604
                     83,                0.76496,                0.49116,                0.89868,                0.99572,                0.98864,                0.99436,                0.77879,                0.75488,                0.47311,                0.89921,              0.0015991,              0.0015991,              0.0015991
                     84,                0.79365,                0.51737,                0.90328,                0.98771,                0.98864,                0.99466,                0.78782,                0.73891,                0.45063,                0.90539,              0.0015941,              0.0015941,              0.0015941
                     85,                0.78324,                0.49805,                0.89674,                0.98728,                0.98864,                0.99455,                0.79031,                0.74309,                0.44273,                0.90575,              0.0015892,              0.0015892,              0.0015892
                     86,                0.76442,                0.47933,                0.89086,                0.98692,                0.98864,                0.99421,                0.79925,                0.74257,                 0.4372,                0.89991,              0.0015842,              0.0015842,              0.0015842
                     87,                0.78778,                 0.5101,                0.91023,                0.98726,                0.98864,                0.99243,                0.79228,                0.76911,                0.44115,                 0.9038,              0.0015793,              0.0015793,              0.0015793
                     88,                0.77568,                0.48416,                0.90181,                0.98775,                0.98864,                0.99137,                0.79393,                0.76363,                0.44993,                0.90419,              0.0015743,              0.0015743,              0.0015743
                     89,                0.74982,                0.48602,                0.90173,                0.98761,                0.98864,                 0.9907,                0.78492,                0.76504,                0.45924,                0.90547,              0.0015693,              0.0015693,              0.0015693
                     90,                0.78115,                0.49108,                0.91327,                0.98734,                0.98864,                0.99217,                0.78248,                0.75371,                0.44553,                0.89937,              0.0015644,              0.0015644,              0.0015644
                     91,                 0.7892,                0.48895,                0.91593,                0.98718,                0.98864,                0.99334,                 0.7849,                0.74932,                0.43049,                 0.8991,              0.0015594,              0.0015594,              0.0015594
