                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.79832,                0.48346,                0.99874,                0.98378,                 0.9966,                0.99211,                0.76018,                 0.9305,                0.46079,                 1.0496,               0.001897,               0.001897,               0.001897
                     55,                0.80986,                0.48505,                0.99735,                0.97985,                 0.9923,                0.99224,                0.76491,                0.87711,                0.47069,                 1.0267,              0.0018951,              0.0018951,              0.0018951
                     56,                0.77999,                0.46428,                0.97653,                0.94109,                 0.9932,                0.98881,                0.73138,                0.99355,                0.51303,                 1.0577,              0.0018931,              0.0018931,              0.0018931
                     57,                0.79348,                0.47371,                 1.0032,                0.93833,                0.98299,                0.98424,                 0.7037,                 1.0919,                0.63412,                 1.1443,              0.0018911,              0.0018911,              0.0018911
                     58,                0.80478,                0.47626,                 1.0176,                0.94226,                0.97619,                0.98521,                0.71222,                 1.0424,                0.57916,                 1.1755,              0.0018891,              0.0018891,              0.0018891
                     59,                0.82969,                0.49979,                 1.0232,                0.98643,                0.98934,                 0.9931,                0.74925,                0.96273,                0.49482,                 1.0766,              0.0018871,              0.0018871,              0.0018871
                     60,                 0.8134,                0.48489,                 1.0076,                0.97794,                 0.9932,                0.99277,                0.74306,                0.95264,                0.49564,                  1.061,              0.0018852,              0.0018852,              0.0018852
                     61,                0.79697,                0.47252,                0.99369,                0.98508,                 0.9932,                0.99362,                0.76111,                 0.9199,                0.46476,                 1.0379,              0.0018832,              0.0018832,              0.0018832
                     62,                0.80144,                0.47777,                0.98991,                0.98918,                 0.9932,                0.99417,                0.78681,                0.89505,                0.43204,                  1.054,              0.0018812,              0.0018812,              0.0018812
                     63,                0.81889,                0.47058,                 1.0053,                0.93464,                      1,                0.99076,                0.76579,                0.97614,                0.51789,                  1.047,              0.0018792,              0.0018792,              0.0018792
                     64,                0.78625,                0.45697,                0.98217,                0.96682,                0.95238,                0.98538,                0.76102,                 0.9537,                0.52088,                 1.0916,              0.0018772,              0.0018772,              0.0018772
                     65,                0.78881,                  0.466,                 1.0009,                0.98627,                0.97754,                0.99366,                 0.7663,                0.97889,                 0.4653,                 1.1032,              0.0018753,              0.0018753,              0.0018753
                     66,                0.79317,                0.46123,                0.99507,                 0.9955,                      1,                0.99446,                0.79583,                0.85932,                0.41957,                 1.0426,              0.0018733,              0.0018733,              0.0018733
                     67,                0.76787,                 0.4501,                0.98224,                 0.9895,                      1,                0.99373,                0.79491,                0.89045,                0.43237,                  1.044,              0.0018713,              0.0018713,              0.0018713
                     68,                0.76546,                0.45107,                0.97705,                0.95392,                0.98299,                0.98489,                0.75314,                0.93471,                0.52066,                 1.1141,              0.0018693,              0.0018693,              0.0018693
                     69,                0.78623,                0.47016,                0.98806,                0.99618,                      1,                 0.9929,                0.77745,                0.89727,                0.43578,                 1.0637,              0.0018673,              0.0018673,              0.0018673
                     70,                  0.816,                0.46608,                 0.9973,                0.99608,                      1,                0.99293,                0.76171,                0.96153,                0.41419,                 1.0758,              0.0018654,              0.0018654,              0.0018654
                     71,                0.80901,                0.45684,                0.99382,                0.99624,                      1,                0.99381,                0.78592,                0.84372,                0.40901,                  1.041,              0.0018634,              0.0018634,              0.0018634
                     72,                 0.7932,                0.45486,                0.99906,                0.99282,                      1,                0.99452,                0.78443,                 0.8684,                0.40258,                 1.0395,              0.0018614,              0.0018614,              0.0018614
                     73,                0.77844,                0.45567,                0.99063,                 0.9899,                0.99981,                0.99373,                0.77783,                0.90545,                0.41175,                 1.0502,              0.0018594,              0.0018594,              0.0018594
                     74,                0.76053,                 0.4349,                0.97656,                0.97287,                      1,                0.99364,                0.79506,                 0.8268,                0.40977,                 1.0597,              0.0018574,              0.0018574,              0.0018574
                     75,                 0.7613,                0.44255,                0.99002,                0.98657,                0.99912,                0.99365,                0.78758,                0.91458,                0.42921,                 1.0661,              0.0018555,              0.0018555,              0.0018555
                     76,                0.77693,                 0.4412,                0.97862,                0.97987,                0.99354,                0.99366,                0.78447,                0.87196,                0.44674,                 1.0538,              0.0018535,              0.0018535,              0.0018535
                     77,                0.77194,                0.45811,                0.99044,                0.98171,                      1,                0.99449,                 0.7878,                 0.8638,                0.43905,                 1.0614,              0.0018515,              0.0018515,              0.0018515
                     78,                 0.7641,                0.43307,                0.98348,                0.98713,                 0.9932,                0.99421,                0.77067,                0.93836,                0.45401,                   1.08,              0.0018495,              0.0018495,              0.0018495
                     79,                0.74678,                0.43854,                0.99091,                0.99158,                 0.9932,                0.99459,                0.75427,                  1.005,                0.44666,                 1.0752,              0.0018475,              0.0018475,              0.0018475
                     80,                0.75505,                0.43324,                0.98683,                0.98569,                 0.9966,                0.99372,                0.77162,                0.93977,                0.43656,                 1.0517,              0.0018456,              0.0018456,              0.0018456
                     81,                0.76248,                0.44218,                 0.9929,                0.97336,                0.99429,                0.99357,                0.76107,                0.96641,                0.47394,                 1.0701,              0.0018436,              0.0018436,              0.0018436
                     82,                0.77612,                0.43805,                0.98708,                0.98296,                0.98092,                0.99318,                0.76238,                0.99268,                0.47796,                 1.0906,              0.0018416,              0.0018416,              0.0018416
                     83,                0.75987,                0.42738,                0.99703,                0.98478,                 0.9966,                0.99403,                0.79749,                0.92753,                0.43998,                 1.0558,              0.0018396,              0.0018396,              0.0018396
                     84,                0.76401,                0.43297,                0.97633,                0.96666,                 0.9898,                0.99107,                0.79544,                0.91084,                0.45539,                 1.0679,              0.0018376,              0.0018376,              0.0018376
                     85,                 0.7691,                  0.435,                0.99321,                0.96035,                0.98639,                0.98903,                0.77489,                 0.9141,                0.46357,                 1.0873,              0.0018357,              0.0018357,              0.0018357
                     86,                0.78246,                0.44006,                0.98347,                0.95039,                 0.9898,                0.98938,                0.75865,                0.94245,                0.44752,                 1.0968,              0.0018337,              0.0018337,              0.0018337
                     87,                0.75865,                0.43408,                0.99244,                0.96316,                0.97824,                0.99065,                0.76706,                0.90294,                 0.4526,                 1.1065,              0.0018317,              0.0018317,              0.0018317
                     88,                0.74352,                0.42301,                0.97362,                 0.9767,                0.99787,                 0.9936,                0.78212,                0.92509,                0.42086,                 1.0867,              0.0018297,              0.0018297,              0.0018297
                     89,                0.77531,                0.41799,                0.98749,                0.99582,                      1,                0.99358,                0.79147,                0.87139,                 0.4074,                 1.0518,              0.0018277,              0.0018277,              0.0018277
                     90,                0.78677,                 0.4329,                0.99867,                0.95093,                0.98869,                0.99116,                0.77827,                0.90246,                0.44316,                 1.0546,              0.0018258,              0.0018258,              0.0018258
                     91,                0.76046,                0.43175,                0.98436,                0.96966,                0.97959,                0.99222,                0.78162,                0.84793,                0.41289,                 1.0508,              0.0018238,              0.0018238,              0.0018238
                     92,                0.75234,                0.41952,                0.97903,                0.98966,                      1,                0.99208,                0.77347,                0.88056,                0.39447,                 1.0481,              0.0018218,              0.0018218,              0.0018218
                     93,                0.76934,                0.43033,                0.98539,                0.96654,                 0.9932,                0.99223,                0.78257,                0.93031,                0.42259,                 1.0524,              0.0018198,              0.0018198,              0.0018198
                     94,                0.75316,                 0.4253,                0.97737,                0.98589,                 0.9932,                0.99365,                0.77819,                0.92682,                0.42741,                 1.0469,              0.0018178,              0.0018178,              0.0018178
                     95,                0.75088,                0.42003,                0.97703,                0.99277,                      1,                0.99401,                0.77343,                0.95069,                0.40864,                 1.0517,              0.0018159,              0.0018159,              0.0018159
                     96,                0.77416,                0.42935,                0.98677,                0.98644,                      1,                0.99296,                0.76317,                0.98554,                0.40901,                 1.0625,              0.0018139,              0.0018139,              0.0018139
                     97,                0.74948,                0.41731,                0.97966,                0.96969,                0.97941,                0.98983,                0.77623,                0.89791,                0.41504,                 1.0546,              0.0018119,              0.0018119,              0.0018119
                     98,                0.73458,                0.41478,                0.96945,                0.96952,                0.97384,                0.99163,                0.77034,                0.95553,                0.43888,                 1.0825,              0.0018099,              0.0018099,              0.0018099
                     99,                 0.7812,                0.44118,                 1.0006,                0.97992,                0.99596,                0.99344,                0.78885,                0.87399,                0.40744,                 1.0679,              0.0018079,              0.0018079,              0.0018079
                    100,                0.77944,                0.43274,                0.98335,                0.99158,                 0.9898,                0.99425,                 0.7919,                0.87697,                0.39865,                 1.0713,               0.001806,               0.001806,               0.001806
                    101,                0.74404,                0.41638,                0.97386,                0.99569,                      1,                0.99436,                 0.7804,                0.86964,                 0.3991,                 1.0687,               0.001804,               0.001804,               0.001804
                    102,                 0.7698,                0.42359,                0.98709,                0.99502,                 0.9966,                0.99449,                0.78148,                0.89777,                0.39527,                 1.0629,               0.001802,               0.001802,               0.001802
                    103,                0.73473,                0.41702,                0.98076,                0.98904,                 0.9898,                0.99452,                0.78651,                0.86466,                0.41189,                   1.08,                 0.0018,                 0.0018,                 0.0018
                    104,                0.75272,                0.42131,                0.97736,                0.98978,                0.98868,                0.99402,                0.77983,                0.88534,                0.43427,                 1.0867,               0.001798,               0.001798,               0.001798
                    105,                0.76516,                0.43505,                 0.9873,                0.99161,                 0.9966,                 0.9937,                0.78618,                0.86706,                0.39959,                 1.0537,              0.0017961,              0.0017961,              0.0017961
                    106,                0.77037,                0.41904,                0.97406,                0.98258,                 0.9966,                0.99314,                0.77351,                0.83274,                0.40098,                 1.0498,              0.0017941,              0.0017941,              0.0017941
                    107,                 0.7781,                0.43447,                 0.9887,                0.98575,                 0.9898,                0.99299,                0.78565,                0.84153,                0.41559,                 1.0499,              0.0017921,              0.0017921,              0.0017921
                    108,                0.77239,                 0.4247,                0.97727,                0.98762,                 0.9966,                0.99282,                0.78799,                0.84054,                0.40212,                 1.0542,              0.0017901,              0.0017901,              0.0017901
                    109,                0.76772,                0.43252,                0.99778,                0.98864,                      1,                0.99259,                 0.7966,                0.84031,                0.39561,                 1.0451,              0.0017881,              0.0017881,              0.0017881
                    110,                0.75631,                0.40625,                0.97155,                0.98921,                      1,                0.99361,                0.78805,                 0.8278,                0.39886,                 1.0391,              0.0017862,              0.0017862,              0.0017862
                    111,                0.74742,                0.40511,                 0.9719,                 0.9932,                0.99311,                0.99405,                0.79904,                 0.8625,                0.38729,                 1.0476,              0.0017842,              0.0017842,              0.0017842
                    112,                0.74197,                0.40396,                0.96368,                0.98942,                 0.9898,                0.99291,                  0.807,                0.83263,                0.39399,                 1.0373,              0.0017822,              0.0017822,              0.0017822
                    113,                0.73514,                0.40398,                0.97227,                0.99264,                      1,                0.99323,                0.81181,                0.84034,                0.37063,                 1.0395,              0.0017802,              0.0017802,              0.0017802
                    114,                0.73259,                0.40687,                0.96952,                0.99583,                 0.9966,                0.99456,                0.79642,                0.88141,                0.38904,                 1.0478,              0.0017782,              0.0017782,              0.0017782
                    115,                0.72792,                0.39441,                 0.9676,                0.99323,                0.99866,                0.99439,                0.79814,                0.89847,                0.37953,                 1.0456,              0.0017763,              0.0017763,              0.0017763
                    116,                0.73074,                0.40656,                0.96321,                0.99592,                 0.9966,                0.99439,                0.80093,                0.84074,                0.37987,                 1.0382,              0.0017743,              0.0017743,              0.0017743
                    117,                 0.7418,                0.40045,                0.96661,                 0.9966,                0.99817,                0.99453,                0.80139,                 0.8828,                0.37844,                 1.0371,              0.0017723,              0.0017723,              0.0017723
                    118,                0.74019,                0.40938,                0.96803,                 0.9966,                0.99621,                0.99408,                0.79604,                0.87025,                0.37734,                 1.0408,              0.0017703,              0.0017703,              0.0017703
                    119,                0.74499,                0.40989,                0.96702,                0.99324,                0.99972,                0.99442,                0.79848,                 0.8586,                0.38454,                 1.0537,              0.0017683,              0.0017683,              0.0017683
                    120,                0.73086,                0.40996,                 0.9677,                0.99291,                 0.9932,                0.99452,                0.79847,                0.87926,                  0.385,                 1.0491,              0.0017664,              0.0017664,              0.0017664
                    121,                0.72889,                0.39937,                 0.9655,                0.99246,                 0.9932,                 0.9943,                0.78392,                 0.8302,                0.38899,                 1.0325,              0.0017644,              0.0017644,              0.0017644
