                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.43618,                0.40696,                0.98684,                0.49624,                0.14124,                0.24014,                0.13624,                   2.43,                 3.4301,                 3.7091,              0.0018139,              0.0018139,              0.0018139
                     97,                0.44926,                 0.4517,                0.98033,                0.98146,                0.42857,                0.47586,                0.38101,                 1.4087,                 2.3924,                 2.0608,              0.0018119,              0.0018119,              0.0018119
                     98,                0.43591,                0.41513,                0.99686,                0.98435,                0.85714,                0.90959,                0.78857,                0.68306,                0.70942,                  1.179,              0.0018099,              0.0018099,              0.0018099
                     99,                0.42309,                  0.415,                0.99365,                 0.9942,                0.92857,                0.92651,                0.90695,                0.46734,                0.48502,                0.95752,              0.0018079,              0.0018079,              0.0018079
                    100,                0.45903,                0.46305,                 1.0329,                0.93002,                      1,                0.99033,                0.92623,                0.41429,                0.35646,                0.96344,               0.001806,               0.001806,               0.001806
                    101,                0.45511,                0.41736,                 1.0167,                0.99589,                      1,                  0.995,                0.91828,                0.43581,                 0.3547,                0.93442,               0.001804,               0.001804,               0.001804
                    102,                0.40545,                 0.4081,                 0.9978,                0.99622,                      1,                  0.995,                0.91535,                0.43136,                0.39287,                0.93305,               0.001802,               0.001802,               0.001802
                    103,                 0.4389,                 0.4091,                 1.0158,                0.96914,                      1,                  0.995,                0.93465,                 0.4281,                0.39363,                 0.9151,                 0.0018,                 0.0018,                 0.0018
                    104,                0.47022,                0.41567,                 1.0354,                0.92731,                0.92857,                0.98625,                0.88041,                0.45862,                0.42921,                0.94886,               0.001798,               0.001798,               0.001798
                    105,                0.40861,                0.41008,                0.98668,                0.93296,                0.99441,                0.99033,                0.91227,                0.42419,                0.48069,                0.93366,              0.0017961,              0.0017961,              0.0017961
                    106,                0.40708,                0.37322,                0.99414,                0.89363,                0.92857,                0.98265,                0.92101,                0.38038,                0.45262,                0.90133,              0.0017941,              0.0017941,              0.0017941
                    107,                0.41379,                0.36927,                0.99536,                0.99632,                      1,                  0.995,                0.95798,                0.36021,                0.35311,                0.86958,              0.0017921,              0.0017921,              0.0017921
                    108,                 0.3926,                0.35338,                 0.9703,                0.99177,                0.92857,                0.98625,                0.81953,                0.50773,                0.53522,                 1.0042,              0.0017901,              0.0017901,              0.0017901
                    109,                0.47351,                0.38784,                 1.0102,                0.99041,                      1,                  0.995,                0.86433,                0.47795,                0.48966,                0.97071,              0.0017881,              0.0017881,              0.0017881
                    110,                0.41982,                0.36343,                0.98658,                0.99115,                      1,                  0.995,                0.90513,                0.43424,                0.39206,                0.93564,              0.0017862,              0.0017862,              0.0017862
                    111,                0.41828,                0.36931,                0.97053,                0.99302,                      1,                  0.995,                0.91929,                0.41288,                0.37644,                0.92938,              0.0017842,              0.0017842,              0.0017842
                    112,                0.48182,                 0.4226,                 1.0148,                0.99131,                      1,                  0.995,                0.95526,                0.40505,                0.37164,                0.90035,              0.0017822,              0.0017822,              0.0017822
                    113,                0.47751,                0.40545,                  1.003,                0.99278,                      1,                  0.995,                0.92432,                0.39971,                0.35559,                 0.8933,              0.0017802,              0.0017802,              0.0017802
                    114,                 0.4651,                0.40313,                 1.0511,                0.99104,                      1,                  0.995,                0.94359,                0.38431,                0.36888,                0.87661,              0.0017782,              0.0017782,              0.0017782
                    115,                0.49453,                 0.4117,                 1.0327,                0.99226,                      1,                  0.995,                 0.9268,                0.39386,                0.34858,                0.90096,              0.0017763,              0.0017763,              0.0017763
                    116,                0.45012,                0.38317,                 1.0172,                0.99367,                      1,                  0.995,                0.91258,                0.44148,                0.33797,                0.97761,              0.0017743,              0.0017743,              0.0017743
                    117,                0.47949,                0.42929,                 1.0403,                0.99466,                      1,                  0.995,                 0.9149,                0.43466,                0.31197,                0.97167,              0.0017723,              0.0017723,              0.0017723
                    118,                0.44927,                0.39391,                0.99339,                0.99492,                      1,                  0.995,                0.92477,                0.40695,                0.27255,                0.93429,              0.0017703,              0.0017703,              0.0017703
                    119,                0.44079,                0.36036,                 1.0032,                0.99558,                      1,                  0.995,                0.91924,                0.41319,                0.27464,                0.90219,              0.0017683,              0.0017683,              0.0017683
                    120,                0.43664,                0.38755,                 1.0087,                0.99607,                      1,                  0.995,                0.91966,                 0.4604,                0.27702,                 0.9191,              0.0017664,              0.0017664,              0.0017664
                    121,                0.44606,                0.39217,                 1.0392,                0.99592,                      1,                  0.995,                0.91957,                0.34675,                0.26792,                0.84911,              0.0017644,              0.0017644,              0.0017644
                    122,                0.45056,                0.38884,                 1.0179,                0.99572,                      1,                  0.995,                0.94619,                0.33442,                0.29719,                0.83969,              0.0017624,              0.0017624,              0.0017624
                    123,                0.43493,                0.36381,                 1.0016,                0.99544,                      1,                  0.995,                0.93361,                0.35507,                0.37804,                0.85771,              0.0017604,              0.0017604,              0.0017604
                    124,                0.42144,                0.37445,                0.98711,                0.98964,                      1,                  0.995,                0.89019,                0.40674,                0.41742,                0.91042,              0.0017584,              0.0017584,              0.0017584
                    125,                0.43176,                0.41012,                0.97834,                0.99426,                      1,                  0.995,                0.92274,                0.37384,                0.34731,                0.87515,              0.0017565,              0.0017565,              0.0017565
                    126,                0.42947,                0.40335,                0.99393,                0.99023,                      1,                  0.995,                0.93403,                 0.4063,                0.35467,                0.89997,              0.0017545,              0.0017545,              0.0017545
                    127,                 0.3932,                 0.3407,                0.96369,                0.93827,                0.92857,                0.99033,                0.91223,                0.44135,                0.49818,                  0.921,              0.0017525,              0.0017525,              0.0017525
                    128,                0.41524,                 0.3749,                0.98901,                0.92759,                      1,                  0.995,                0.91362,                0.42433,                0.50976,                0.93312,              0.0017505,              0.0017505,              0.0017505
                    129,                0.42266,                0.40095,                  1.015,                0.98084,                      1,                  0.995,                 0.9094,                0.41536,                0.55551,                 0.9712,              0.0017485,              0.0017485,              0.0017485
                    130,                0.47357,                0.41589,                 1.0136,                0.92659,                      1,                  0.995,                0.93693,                0.41636,                0.56051,                0.99731,              0.0017466,              0.0017466,              0.0017466
                    131,                0.41215,                0.38776,                0.98104,                0.86739,                      1,                0.99033,                0.88516,                0.41899,                0.60376,                0.98228,              0.0017446,              0.0017446,              0.0017446
                    132,                0.42449,                0.37994,                 1.0018,                 0.9142,                      1,                  0.995,                0.93545,                0.37437,                0.51641,                0.93811,              0.0017426,              0.0017426,              0.0017426
                    133,                0.44437,                0.37946,                 1.0226,                0.98161,                      1,                  0.995,                0.92819,                0.37443,                0.36366,                0.93256,              0.0017406,              0.0017406,              0.0017406
                    134,                0.40774,                0.38269,                0.97471,                 0.9959,                      1,                  0.995,                0.92837,                0.36864,                0.30549,                 0.9066,              0.0017386,              0.0017386,              0.0017386
                    135,                0.42439,                0.39964,                0.98017,                0.99606,                      1,                  0.995,                0.94492,                0.35435,                0.28645,                0.87508,              0.0017367,              0.0017367,              0.0017367
